Kod;Nazwa
0000000;POLSKA
0200000;DOLNOŚLĄSKIE
0201000;Powiat bolesławiecki
0202000;Powiat dzierżoniowski
0203000;Powiat głogowski
0204000;Powiat górowski
0205000;Powiat jaworski
0206000;Powiat jeleniogórski
0207000;Powiat kamiennogórski
0208000;Powiat kłodzki
0209000;Powiat legnicki
0210000;Powiat lubański
0211000;Powiat lubiński
0212000;Powiat lwówecki
0213000;Powiat milicki
0214000;Powiat oleśnicki
0215000;Powiat oławski
0216000;Powiat polkowicki
0217000;Powiat strzeliński
0218000;Powiat średzki
0219000;Powiat świdnicki
0220000;Powiat trzebnicki
0221000;Powiat wałbrzyski
0222000;Powiat wołowski
0223000;Powiat wrocławski
0224000;Powiat ząbkowicki
0225000;Powiat zgorzelecki
0226000;Powiat złotoryjski
0261000;Powiat m.Jelenia Góra
0262000;Powiat m.Legnica
0264000;Powiat m.Wrocław
0265000;Powiat m.Wałbrzych od 2013
0400000;KUJAWSKO-POMORSKIE
0401000;Powiat aleksandrowski
0402000;Powiat brodnicki
0403000;Powiat bydgoski
0404000;Powiat chełmiński
0405000;Powiat golubsko-dobrzyński
0406000;Powiat grudziądzki
0407000;Powiat inowrocławski
0408000;Powiat lipnowski
0409000;Powiat mogileński
0410000;Powiat nakielski
0411000;Powiat radziejowski
0412000;Powiat rypiński
0413000;Powiat sępoleński
0414000;Powiat świecki
0415000;Powiat toruński
0416000;Powiat tucholski
0417000;Powiat wąbrzeski
0418000;Powiat włocławski
0419000;Powiat żniński
0461000;Powiat m.Bydgoszcz
0462000;Powiat m.Grudziądz
0463000;Powiat m.Toruń
0464000;Powiat m.Włocławek
0600000;LUBELSKIE
0601000;Powiat bialski
0602000;Powiat biłgorajski
0603000;Powiat chełmski
0604000;Powiat hrubieszowski
0605000;Powiat janowski
0606000;Powiat krasnostawski
0607000;Powiat kraśnicki
0608000;Powiat lubartowski
0609000;Powiat lubelski
0610000;Powiat łęczyński
0611000;Powiat łukowski
0612000;Powiat opolski
0613000;Powiat parczewski
0614000;Powiat puławski
0615000;Powiat radzyński
0616000;Powiat rycki
0617000;Powiat świdnicki
0618000;Powiat tomaszowski
0619000;Powiat włodawski
0620000;Powiat zamojski
0661000;Powiat m.Biała Podlaska
0662000;Powiat m.Chełm
0663000;Powiat m.Lublin
0664000;Powiat m.Zamość
0800000;LUBUSKIE
0801000;Powiat gorzowski
0802000;Powiat krośnieński
0803000;Powiat międzyrzecki
0804000;Powiat nowosolski
0805000;Powiat słubicki
0806000;Powiat strzelecko-drezdenecki
0807000;Powiat sulęciński
0808000;Powiat świebodziński
0809000;Powiat zielonogórski
0810000;Powiat żagański
0811000;Powiat żarski
0812000;Powiat wschowski
0861000;Powiat m.Gorzów Wielkopolski
0862000;Powiat m.Zielona Góra
1000000;ŁÓDZKIE
1001000;Powiat bełchatowski
1002000;Powiat kutnowski
1003000;Powiat łaski
1004000;Powiat łęczycki
1005000;Powiat łowicki
1006000;Powiat łódzki wschodni
1007000;Powiat opoczyński
1008000;Powiat pabianicki
1009000;Powiat pajęczański
1010000;Powiat piotrkowski
1011000;Powiat poddębicki
1012000;Powiat radomszczański
1013000;Powiat rawski
1014000;Powiat sieradzki
1015000;Powiat skierniewicki
1016000;Powiat tomaszowski
1017000;Powiat wieluński
1018000;Powiat wieruszowski
1019000;Powiat zduńskowolski
1020000;Powiat zgierski
1021000;Powiat brzeziński
1061000;Powiat m.Łódź
1062000;Powiat m.Piotrków Trybunalski
1063000;Powiat m.Skierniewice
1200000;MAŁOPOLSKIE
1201000;Powiat bocheński
1202000;Powiat brzeski
1203000;Powiat chrzanowski
1204000;Powiat dąbrowski
1205000;Powiat gorlicki
1206000;Powiat krakowski
1207000;Powiat limanowski
1208000;Powiat miechowski
1209000;Powiat myślenicki
1210000;Powiat nowosądecki
1211000;Powiat nowotarski
1212000;Powiat olkuski
1213000;Powiat oświęcimski
1214000;Powiat proszowicki
1215000;Powiat suski
1216000;Powiat tarnowski
1217000;Powiat tatrzański
1218000;Powiat wadowicki
1219000;Powiat wielicki
1261000;Powiat m.Kraków
1262000;Powiat m.Nowy Sącz
1263000;Powiat m.Tarnów
1400000;MAZOWIECKIE
1401000;Powiat białobrzeski
1402000;Powiat ciechanowski
1403000;Powiat garwoliński
1404000;Powiat gostyniński
1405000;Powiat grodziski
1406000;Powiat grójecki
1407000;Powiat kozienicki
1408000;Powiat legionowski
1409000;Powiat lipski
1410000;Powiat łosicki
1411000;Powiat makowski
1412000;Powiat miński
1413000;Powiat mławski
1414000;Powiat nowodworski
1415000;Powiat ostrołęcki
1416000;Powiat ostrowski
1417000;Powiat otwocki
1418000;Powiat piaseczyński
1419000;Powiat płocki
1420000;Powiat płoński
1421000;Powiat pruszkowski
1422000;Powiat przasnyski
1423000;Powiat przysuski
1424000;Powiat pułtuski
1425000;Powiat radomski
1426000;Powiat siedlecki
1427000;Powiat sierpecki
1428000;Powiat sochaczewski
1429000;Powiat sokołowski
1430000;Powiat szydłowiecki
1432000;Powiat warszawski zachodni
1433000;Powiat węgrowski
1434000;Powiat wołomiński
1435000;Powiat wyszkowski
1436000;Powiat zwoleński
1437000;Powiat żuromiński
1438000;Powiat żyrardowski
1461000;Powiat m.Ostrołęka
1462000;Powiat m.Płock
1463000;Powiat m.Radom
1464000;Powiat m.Siedlce
1465000;Powiat m. st. Warszawa
1600000;OPOLSKIE
1601000;Powiat brzeski
1602000;Powiat głubczycki
1603000;Powiat kędzierzyńsko-kozielski
1604000;Powiat kluczborski
1605000;Powiat krapkowicki
1606000;Powiat namysłowski
1607000;Powiat nyski
1608000;Powiat oleski
1609000;Powiat opolski
1610000;Powiat prudnicki
1611000;Powiat strzelecki
1661000;Powiat m.Opole
1800000;PODKARPACKIE
1801000;Powiat bieszczadzki
1802000;Powiat brzozowski
1803000;Powiat dębicki
1804000;Powiat jarosławski
1805000;Powiat jasielski
1806000;Powiat kolbuszowski
1807000;Powiat krośnieński
1808000;Powiat leżajski
1809000;Powiat lubaczowski
1810000;Powiat łańcucki
1811000;Powiat mielecki
1812000;Powiat niżański
1813000;Powiat przemyski
1814000;Powiat przeworski
1815000;Powiat ropczycko-sędziszowski
1816000;Powiat rzeszowski
1817000;Powiat sanocki
1818000;Powiat stalowowolski
1819000;Powiat strzyżowski
1820000;Powiat tarnobrzeski
1821000;Powiat leski
1861000;Powiat m.Krosno
1862000;Powiat m.Przemyśl
1863000;Powiat m.Rzeszów
1864000;Powiat m.Tarnobrzeg
2000000;PODLASKIE
2001000;Powiat augustowski
2002000;Powiat białostocki
2003000;Powiat bielski
2004000;Powiat grajewski
2005000;Powiat hajnowski
2006000;Powiat kolneński
2007000;Powiat łomżyński
2008000;Powiat moniecki
2009000;Powiat sejneński
2010000;Powiat siemiatycki
2011000;Powiat sokólski
2012000;Powiat suwalski
2013000;Powiat wysokomazowiecki
2014000;Powiat zambrowski
2061000;Powiat m.Białystok
2062000;Powiat m.Łomża
2063000;Powiat m.Suwałki
2200000;POMORSKIE
2201000;Powiat bytowski
2202000;Powiat chojnicki
2203000;Powiat człuchowski
2204000;Powiat gdański
2205000;Powiat kartuski
2206000;Powiat kościerski
2207000;Powiat kwidzyński
2208000;Powiat lęborski
2209000;Powiat malborski
2210000;Powiat nowodworski
2211000;Powiat pucki
2212000;Powiat słupski
2213000;Powiat starogardzki
2214000;Powiat tczewski
2215000;Powiat wejherowski
2216000;Powiat sztumski
2261000;Powiat m.Gdańsk
2262000;Powiat m.Gdynia
2263000;Powiat m.Słupsk
2264000;Powiat m.Sopot
2400000;ŚLĄSKIE
2401000;Powiat będziński
2402000;Powiat bielski
2403000;Powiat cieszyński
2404000;Powiat częstochowski
2405000;Powiat gliwicki
2406000;Powiat kłobucki
2407000;Powiat lubliniecki
2408000;Powiat mikołowski
2409000;Powiat myszkowski
2410000;Powiat pszczyński
2411000;Powiat raciborski
2412000;Powiat rybnicki
2413000;Powiat tarnogórski
2414000;Powiat bieruńsko-lędziński
2415000;Powiat wodzisławski
2416000;Powiat zawierciański
2417000;Powiat żywiecki
2461000;Powiat m.Bielsko-Biała
2462000;Powiat m.Bytom
2463000;Powiat m.Chorzów
2464000;Powiat m.Częstochowa
2465000;Powiat m.Dąbrowa Górnicza
2466000;Powiat m.Gliwice
2467000;Powiat m.Jastrzębie-Zdrój
2468000;Powiat m.Jaworzno
2469000;Powiat m.Katowice
2470000;Powiat m.Mysłowice
2471000;Powiat m.Piekary Śląskie
2472000;Powiat m.Ruda Śląska
2473000;Powiat m.Rybnik
2474000;Powiat m.Siemianowice Śląskie
2475000;Powiat m.Sosnowiec
2476000;Powiat m.Świętochłowice
2477000;Powiat m.Tychy
2478000;Powiat m.Zabrze
2479000;Powiat m.Żory
2600000;ŚWIĘTOKRZYSKIE
2601000;Powiat buski
2602000;Powiat jędrzejowski
2603000;Powiat kazimierski
2604000;Powiat kielecki
2605000;Powiat konecki
2606000;Powiat opatowski
2607000;Powiat ostrowiecki
2608000;Powiat pińczowski
2609000;Powiat sandomierski
2610000;Powiat skarżyski
2611000;Powiat starachowicki
2612000;Powiat staszowski
2613000;Powiat włoszczowski
2661000;Powiat m.Kielce
2800000;WARMIŃSKO-MAZURSKIE
2801000;Powiat bartoszycki
2802000;Powiat braniewski
2803000;Powiat działdowski
2804000;Powiat elbląski
2805000;Powiat ełcki
2806000;Powiat giżycki
2807000;Powiat iławski
2808000;Powiat kętrzyński
2809000;Powiat lidzbarski
2810000;Powiat mrągowski
2811000;Powiat nidzicki
2812000;Powiat nowomiejski
2813000;Powiat olecki
2814000;Powiat olsztyński
2815000;Powiat ostródzki
2816000;Powiat piski
2817000;Powiat szczycieński
2818000;Powiat gołdapski
2819000;Powiat węgorzewski
2861000;Powiat m.Elbląg
2862000;Powiat m.Olsztyn
3000000;WIELKOPOLSKIE
3001000;Powiat chodzieski
3002000;Powiat czarnkowsko-trzcianecki
3003000;Powiat gnieźnieński
3004000;Powiat gostyński
3005000;Powiat grodziski
3006000;Powiat jarociński
3007000;Powiat kaliski
3008000;Powiat kępiński
3009000;Powiat kolski
3010000;Powiat koniński
3011000;Powiat kościański
3012000;Powiat krotoszyński
3013000;Powiat leszczyński
3014000;Powiat międzychodzki
3015000;Powiat nowotomyski
3016000;Powiat obornicki
3017000;Powiat ostrowski
3018000;Powiat ostrzeszowski
3019000;Powiat pilski
3020000;Powiat pleszewski
3021000;Powiat poznański
3022000;Powiat rawicki
3023000;Powiat słupecki
3024000;Powiat szamotulski
3025000;Powiat średzki
3026000;Powiat śremski
3027000;Powiat turecki
3028000;Powiat wągrowiecki
3029000;Powiat wolsztyński
3030000;Powiat wrzesiński
3031000;Powiat złotowski
3061000;Powiat m.Kalisz
3062000;Powiat m.Konin
3063000;Powiat m.Leszno
3064000;Powiat m.Poznań
3200000;ZACHODNIOPOMORSKIE
3201000;Powiat białogardzki
3202000;Powiat choszczeński
3203000;Powiat drawski
3204000;Powiat goleniowski
3205000;Powiat gryficki
3206000;Powiat gryfiński
3207000;Powiat kamieński
3208000;Powiat kołobrzeski
3209000;Powiat koszaliński
3210000;Powiat myśliborski
3211000;Powiat policki
3212000;Powiat pyrzycki
3213000;Powiat sławieński
3214000;Powiat stargardzki
3215000;Powiat szczecinecki
3216000;Powiat świdwiński
3217000;Powiat wałecki
3218000;Powiat łobeski
3261000;Powiat m.Koszalin
3262000;Powiat m.Szczecin
3263000;Powiat m.Świnoujście
