kod;nazwa;O2019;M2019;K2019;O65;M65;K65
0200000;dolnośląskie;2900163;1394635;1505528;552048;218049;333999
0400000;kujawsko-pomorskie;2072373;1004306;1068067;367519;147014;220505
0600000;lubelskie;2108270;1021848;1086422;391839;152339;239500
0800000;lubuskie;1011592;492166;519426;177973;71543;106430
1000000;łódzkie;2454779;1169635;1285144;494018;188660;305358
1200000;małopolskie;3410901;1655472;1755429;580369;233874;346495
1400000;mazowieckie;5423168;2595023;2828145;983719;385911;597808
1600000;opolskie;982626;475166;507460;185190;74218;110972
1800000;podkarpackie;2127164;1041834;1085330;360168;146032;214136
2000000;podlaskie;1178353;574218;604135;209619;82585;127034
2200000;pomorskie;2343928;1141225;1202703;396476;162854;233622
2400000;śląskie;4517635;2177295;2340340;867711;349548;518163
2600000;świętokrzyskie;1233961;601664;632297;243219;97797;145422
2800000;warmińsko-mazurskie;1422737;695909;726828;236033;93975;142058
3000000;wielkopolskie;3498733;1702134;1796599;588097;237064;351033
3200000;zachodniopomorskie;1696193;824522;871671;313021;127181;185840
